City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Tessalit,ML,2021-04-23 17:44:51,20.1986,1.0114,96.8,6,0,9.73
97,Mar Del Plata,AR,2021-04-23 17:44:51,-38.0023,-57.5575,75.2,73,40,6.91
98,Barrow,US,2021-04-23 17:44:52,71.2906,-156.7887,12.2,85,1,3.44
99,Los Llanos De Aridane,ES,2021-04-23 17:44:52,28.6585,-17.9182,73.4,60,40,8.05
100,Aklavik,CA,2021-04-23 17:44:52,68.2191,-135.0107,26.6,63,20,4.61
101,Ixtapa,MX,2021-04-23 17:44:53,20.7,-105.2,84.2,58,1,9.22
102,Airai,TL,2021-04-23 17:44:53,-8.9266,125.4092,57.25,90,37,2.62
103,Sabzevar,IR,2021-04-23 17:44:53,36.2126,57.6819,76.35,32,96,12.97
104,Turukhansk,RU,2021-04-23 17:44:53,65.8167,87.9833,25.27,89,38,11.3
105,Diban,SY,2021-04-23 17:44:54,35.0365,40.5167,80.2,14,40,6.8
106,Ambon,ID,2021-04-23 17:44:54,-3.6954,128.1814,78.8,89,40,4.61
107,Melton,AU,2021-04-23 17:44:55,-37.6833,144.5833,55.99,70,98,6.93
108,Talnakh,RU,2021-04-23 17:44:55,69.4865,88.3972,32.09,95,98,11.61
109,Constitucion,CL,2021-04-23 17:44:55,-35.3333,-72.4167,62.92,59,31,7.25
110,Winnemucca,US,2021-04-23 17:44:56,40.973,-117.7357,55.4,16,1,9.22
111,Kampong Cham,KH,2021-04-23 17:44:56,11.9934,105.4635,79.39,80,100,4.9
112,Bambous Virieux,MU,2021-04-23 17:44:56,-20.3428,57.7575,80.01,83,40,9.22
113,Avarua,CK,2021-04-23 17:44:57,-21.2078,-159.775,78.8,78,40,10.36
114,Ingersoll,CA,2021-04-23 17:41:03,43.0334,-80.883,62.01,41,20,14.97
115,Aban,RU,2021-04-23 17:44:57,56.67,96.06,31.3,77,85,7.94
116,Bethel,US,2021-04-23 17:44:58,41.3712,-73.414,57.0,26,1,17.27
117,Cabo San Lucas,MX,2021-04-23 17:41:20,22.8909,-109.9124,79.0,38,40,6.91
118,Owensboro,US,2021-04-23 17:41:03,37.7742,-87.1133,57.2,50,90,11.5
119,Rio Grande,BR,2021-04-23 17:44:58,-32.035,-52.0986,78.8,61,40,21.85
120,Lantawan,PH,2021-04-23 17:44:58,10.6167,123.9833,82.4,78,75,9.22
121,Torbay,CA,2021-04-23 17:44:59,47.6666,-52.7314,46.99,53,75,25.32
122,Grand Gaube,MU,2021-04-23 17:44:59,-20.0064,57.6608,80.01,76,99,5.99
123,Beloha,MG,2021-04-23 17:44:59,-25.1667,45.05,74.77,67,42,12.62
124,Araouane,ML,2021-04-23 17:45:00,18.9048,-3.5265,98.85,8,12,5.66
125,Bratunac,BA,2021-04-23 17:45:00,44.1875,19.3394,55.4,46,0,3.44
126,Kodiak,US,2021-04-23 17:40:01,57.79,-152.4072,41.0,87,90,9.22
127,Chapada Dos Guimaraes,BR,2021-04-23 17:45:01,-15.4606,-55.7497,93.2,38,20,11.5
128,Imbituva,BR,2021-04-23 17:45:01,-25.23,-50.6044,73.9,34,2,1.59
129,Vanderhoof,CA,2021-04-23 17:45:01,54.0166,-124.0198,46.38,36,7,4.72
130,Vagur,FO,2021-04-23 17:45:02,61.4732,-6.8119,45.54,87,99,6.11
131,Xichang,CN,2021-04-23 17:45:02,27.8964,102.2634,62.62,47,17,3.22
132,Sao Joao Da Barra,BR,2021-04-23 17:45:02,-21.6403,-41.0511,84.2,48,0,4.0
133,Tuatapere,NZ,2021-04-23 17:45:03,-46.1333,167.6833,44.01,96,53,1.99
134,Georgetown,MY,2021-04-23 17:41:13,5.4112,100.3354,78.8,94,40,3.44
135,Lebu,CL,2021-04-23 17:45:03,-37.6167,-73.65,58.91,76,73,4.52
136,Hamilton,US,2021-04-23 17:41:26,39.1834,-84.5333,57.0,35,90,13.8
137,Axim,GH,2021-04-23 17:45:04,4.8699,-2.2405,82.92,77,99,10.63
138,Meulaboh,ID,2021-04-23 17:45:04,4.1363,96.1285,77.74,84,100,2.17
139,Malartic,CA,2021-04-23 17:45:05,48.1335,-78.1328,55.0,32,20,12.66
140,Saskylakh,RU,2021-04-23 17:45:05,71.9167,114.0833,33.37,97,100,14.36
141,Lannion,FR,2021-04-23 17:45:05,48.75,-3.4167,66.2,45,0,12.66
142,New Norfolk,AU,2021-04-23 17:45:06,-42.7826,147.0587,51.01,78,85,1.01
143,Lorengau,PG,2021-04-23 17:45:06,-2.0226,147.2712,79.3,79,100,5.37
144,Surgut,RU,2021-04-23 17:44:40,61.25,73.4167,44.6,45,0,8.95
145,Narsaq,GL,2021-04-23 17:40:42,60.9167,-46.05,48.2,43,40,9.22
146,Nikolskoye,RU,2021-04-23 17:45:07,59.7035,30.7861,43.0,70,75,4.47
147,Berea,US,2021-04-23 17:45:07,41.3662,-81.8543,57.2,38,75,17.27
148,Kerchevskiy,RU,2021-04-23 17:45:07,59.946,56.2884,41.23,91,100,6.51
149,Srednekolymsk,RU,2021-04-23 17:45:08,67.45,153.6833,8.13,94,100,16.37
150,Cedar City,US,2021-04-23 17:45:08,37.6775,-113.0619,61.0,13,1,12.66
151,Chaplynka,UA,2021-04-23 17:45:08,46.3651,33.5403,50.0,100,100,5.99
152,Port Alfred,ZA,2021-04-23 17:44:17,-33.5906,26.891,68.11,73,2,23.6
153,Haukipudas,FI,2021-04-23 17:45:09,65.1765,25.3523,35.6,93,90,11.5
154,Iquique,CL,2021-04-23 17:42:59,-20.2208,-70.1431,69.8,60,20,14.97
155,Dudinka,RU,2021-04-23 17:45:09,69.4058,86.1778,31.91,96,92,20.27
156,Hirara,JP,2021-04-23 17:45:10,24.8,125.2833,72.09,76,57,23.0
157,Mansa,IN,2021-04-23 17:45:10,29.9833,75.3833,73.15,46,0,5.88
158,Jinchang,CN,2021-04-23 17:45:10,38.4953,102.1739,41.5,76,100,11.68
159,Lagoa,PT,2021-04-23 17:43:39,39.05,-27.9833,57.92,76,5,35.39
160,Calabozo,VE,2021-04-23 17:45:11,8.9242,-67.4293,98.49,27,17,7.9
161,Surt,LY,2021-04-23 17:45:11,31.2089,16.5887,84.6,28,72,15.28
162,Wanxian,CN,2021-04-23 17:45:11,30.8039,108.3897,67.14,95,95,8.39
163,Kyshtovka,RU,2021-04-23 17:45:12,56.555,76.6271,34.41,69,0,6.11
164,Edeia,BR,2021-04-23 17:45:12,-17.3383,-49.9314,86.05,26,0,3.51
165,Kudahuvadhoo,MV,2021-04-23 17:45:12,2.6708,72.8944,83.46,67,15,10.29
166,Ostrovnoy,RU,2021-04-23 17:45:13,68.0531,39.5131,33.3,88,100,11.68
167,Mahina,PF,2021-04-23 17:45:13,-17.5065,-149.489,80.6,78,20,2.3
168,Palauig,PH,2021-04-23 17:45:14,15.435,119.9045,77.11,75,12,8.25
169,Verkhovazhye,RU,2021-04-23 17:45:14,60.7472,42.0465,51.21,77,80,10.65
170,Vardo,NO,2021-04-23 17:45:15,70.3705,31.1107,35.6,60,75,9.22
171,Opuwo,NA,2021-04-23 17:45:15,-18.0607,13.84,75.61,31,75,4.99
