City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Simao,CN,70.02,few clouds,22.7886,100.9748,Changyu Hotel
177,Kawalu,ID,70.74,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
180,Beloha,MG,75.51,clear sky,-25.1667,45.05,
187,Saint George,US,78.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
194,Biak,ID,77.29,broken clouds,-0.9131,122.8766,Penginapan Kim
196,Taitung,TW,73.2,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
198,Bethel,US,70.0,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
206,Xiamen,CN,73.4,light rain,24.4798,118.0819,Xiamen Dongchen Hotel
223,Sibolga,ID,74.21,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
227,Mbandaka,CD,72.7,broken clouds,0.0487,18.2603,Guest House Epervier
228,Muborak,UZ,75.83,overcast clouds,39.2553,65.1528,Muborak temiryoʻl vakzali
233,Hargeysa,SO,75.02,broken clouds,9.56,44.065,City Center Hotel
238,Mayor Pablo Lagerenza,PY,74.44,overcast clouds,-19.9309,-60.7718,
244,Cayenne,GF,78.8,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
250,Presidencia Roque Saenz Pena,AR,71.01,overcast clouds,-26.7852,-60.4388,Hotel Gualok
256,Gigmoto,PH,77.05,scattered clouds,13.7796,124.39,Cj's Travellers Inn
260,Auki,SB,77.25,overcast clouds,-8.7676,160.7034,Auki Motel
262,Ampanihy,MG,71.53,scattered clouds,-24.7,44.75,Angora Hotel
268,Dicabisagan,PH,76.1,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
274,Kendari,ID,74.88,few clouds,-3.945,122.4989,Hotel Wixel
279,Ubaira,BR,79.83,broken clouds,-13.2681,-39.6628,Grupo Navarro
293,Meulaboh,ID,76.12,overcast clouds,4.1363,96.1285,Kost Pria
294,Kongolo,CD,72.75,overcast clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
307,Bukama,CD,73.08,light rain,-9.2,25.85,
308,Dingle,PH,76.37,light rain,10.9995,122.6711,SEGAYA PROPERTY
311,Zhaoqing,CN,78.01,light rain,23.0512,112.4597,七星岩旅游度假区
320,Balaipungut,ID,78.8,few clouds,1.05,101.2833,
323,Namatanai,PG,78.57,broken clouds,-3.6667,152.4333,Namatanai Hotel
324,Sambava,MG,76.78,scattered clouds,-14.2667,50.1667,Melrose
329,Matara,LK,78.15,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
331,Nanakuli,US,75.2,clear sky,21.3906,-158.1547,Camp Pālehua
336,Pokhara,NP,71.44,overcast clouds,28.2333,83.9833,Butterfly Lodge
337,Camana,PE,71.02,overcast clouds,-16.6228,-72.7111,Hostal Morales
345,Huarmey,PE,73.33,few clouds,-10.0681,-78.1522,Hotel Miramar
346,Kasongo-Lunda,CD,70.86,overcast clouds,-6.4667,16.8167,
